case_id,dice,iou,precision,recall,tp,fp,fn,pred_area,ref_area,pred_components,ref_components
0775159,0.9508274984086569,0.906264219626877,0.9363736091521705,0.9657346048165508,11950,812,424,12762,12374,6,6
0776160,0.9676461091378754,0.9373201551357437,0.9705920456017619,0.964718001545197,14984,454,548,15438,15532,6,6
0777160,0.9666680677567148,0.9354864952814839,0.9551457762272614,0.9784717494894486,11499,540,253,12039,11752,6,6
0794156,0.9557550600122277,0.9152594601257241,0.9380368873168267,0.9741554608068219,14851,981,394,15832,15245,6,6
0799157,0.9517131772074978,0.9078747881922768,0.9554199906147348,0.948035015831626,10180,475,558,10655,10738,6,6
0800157,0.9641070535267634,0.9307014366775322,0.9829773669110615,0.9459476041474937,15418,267,881,15685,16299,6,6
0806158,0.801262815703926,0.6684224250325945,0.8631557680651896,0.7476521028991425,12817,2032,4326,14849,17143,5,6
0810158,0.953298212727449,0.9107639103316247,0.9588453286522333,0.947814910025707,14748,633,812,15381,15560,6,6
0814158,0.9623865110246433,0.9275,0.9824811570584641,0.943097379741885,14469,258,873,14727,15342,6,6
0825167,0.9632196313442586,0.9290488713565637,0.9834705950585779,0.9437858295764457,16957,285,1010,17242,17967,6,6
0827167,0.9538690476190477,0.9118065433854907,0.9630822064820777,0.9448304906296062,13461,516,786,13977,14247,6,6
0831168,0.9603645986474566,0.9237513434017761,0.9610427823221327,0.9596873714520774,16331,662,686,16993,17017,6,6
0832168,0.9647344953384678,0.9318715740015662,0.9744658676393955,0.955195563339171,13090,343,614,13433,13704,6,6
0834168,0.9515635699611961,0.9076025428894888,0.9560590771488854,0.9471101417666303,10422,479,582,10901,11004,6,6
0837169,0.9435110081112399,0.8930627913353442,0.9412614695469981,0.9457713248638838,13028,813,747,13841,13775,6,6
0839169,0.9591319798873389,0.9214731948278367,0.9741955302972122,0.9445271779597915,12685,336,745,13021,13430,6,6
0847163,0.9571349647395275,0.9177937052041134,0.9790572435343394,0.9361729179910998,14726,315,1004,15041,15730,6,6
0854164,0.9610620781725135,0.9250428326670475,0.9602074842534272,0.9619181946403385,12958,537,513,13495,13471,6,6
0855164,0.9260614934114202,0.8623040218132243,0.8927941280259722,0.961904037715763,12650,1519,501,14169,13151,6,6
0858164,0.9660826350346429,0.9343905690828713,0.9725387087350278,0.9597117117117117,13316,376,559,13692,13875,6,6
0861165,0.9603360418675113,0.9236985031129951,0.95822454308094,0.9624568668046929,13946,608,544,14554,14490,6,6
